ISBN	Titulo	 Autor	 Categoria	 Ano
5336-6379-1223-2087	Vengeance of Invasion	Renan Vieira	Romance	1997
6095-2985-7344-1452	Escape of Trickery	Lorena Nunes	Romance	1991
4135-4929-3724-168	Invade of Liberty	Isaac Teixeira	Romance	1959
5279-4960-5586-352	Command of Prosecution	Pedro Miguel da Mota	Romance	1996
313-4973-9413-7914	Resist of Opportunity	Luiz Gustavo Costa	Romance	1937
3575-7538-7763-8594	Breakout of Resitution	Diogo Silva	Romance	1931
8579-1256-3997-5361	Streets and Decade	Stephany Moreira	Romance	1959
8802-3303-6726-9493	Shadow and Sons	Maria Vitoria Farias	Romance	2000
5924-1910-9091-3627	Spells and Quest	Luna da Cunha	Romance	2009
2109-3209-4370-2947	Retribution and Hunt	 Marina Pinto	Romance	2011
8936-3850-8966-8178	Bridge and Knights	Livia da Paz	Romance	1956
3434-1605-1492-3587	Galaxy and Nature	Bruno Freitas	Romance	2000
6474-4909-185-8872	Chronicle and Space	Amanda Barros	Romance	2020
4735-5602-9151-2347	Murder and Echoes	Emanuel Cavalcanti	Romance	2015
3503-5362-6821-1200	Destruction and Command	Lavinia Silveira	Romance	1973
1434-8830-3314-9788	Doom and Cult	Fernando Rocha	Romance	1974
6379-4107-1606-4581	Heroes and Stealth	 Paulo Santos	Romance	1931
4721-9900-8269-4866	Souls and Sanity	Ana Laura Cunha	Romance	1987
6403-2718-8799-5830	Innocents and Skeletons	 Arthur Fernandes	Romance	1929
7491-232-7140-3943	Doubt and Nightmares	Amanda Nunes	Romance	1920
7824-4273-1337-1259	Demons and Chaos	 Pietra da Rosa	Romance	1990
3736-5352-2526-1261	Ambition and Riddles	Enrico Barros	Romance	2007
1604-4281-1204-98	Struggle and Hope	Joao Miguel Lopes	Romance	1959
8883-8695-2849-5224	Treason and Oracles	Lavinia Lopes	Romance	1967
5565-6858-2058-2900	Sacrifice and Control	Pedro Henrique Sales	Romance	1921
7692-2013-5676-4016	Doubt and Disarray	Pietro Pires	Romance	1916
9403-877-9389-7465	Bloodpoint	Bianca Moraes	Romance	1949
6788-2566-4245-7594	Fartech	Davi Lucca Farias	Romance	1926
7366-2062-7234-6049	Archesky	Maria Sophia Pereira	Romance	1953
5679-2127-9984-4104	Bulletreign	Eduarda Cardoso	Romance	2013
148-9464-1795-1709	Evercore	Isabella Moura	Romance	2018
1072-4859-9648-3198	Everlife	Antonio Sales	Romance	2009
1153-5402-640-8725	Crosshunt	Levi Silveira	Romance	2015
4714-7661-6831-1201	Dreamchase	 Melissa Fogaca	Romance	1962
6696-9963-6317-7032	Dragonsky	Maria Jesus	Romance	1948
7117-4601-8157-411	Everrain	Ian Pires	Romance	1940
2001-2037-1196-2339	Killing Crusade	Maria Vitoria da Mata	Ficcao Cientifica	1997
8442-5440-9279-7073	Killing Ego	Bruna Silveira	Ficcao Cientifica	1953
7197-8032-5655-1095	Werewolf System	Joao Felipe Pinto	Ficcao Cientifica	2010
1703-374-3754-5856	Private Siren	Guilherme Nunes	Ficcao Cientifica	1936
2876-5309-7885-8320	Armored Command	Igor da Mata	Ficcao Cientifica	1927
5954-1249-5518-3828	Human Crusade	 Carolina Freitas	Ficcao Cientifica	1985
8366-4095-8634-6488	Infinite System	Bianca Silveira	Ficcao Cientifica	2002
8344-6964-5028-6533	Infected Panic	 Sarah Alves	Ficcao Cientifica	2005
9686-9782-3585-8423	Nuclear Agent	Larissa Azevedo	Ficcao Cientifica	1984
5178-5222-9914-3565	Grand Realm	Natalia da Conceicao	Ficcao Cientifica	2022
9381-1464-9679-8349	Rise of Infringement	Bernardo Lima	Ficcao Cientifica	2022
7786-1612-1020-4977	Vengeance of Lies	Enrico Cardoso	Ficcao Cientifica	1982
7028-7166-8658-4632	Destroy of Conflict	Agatha Ferreira	Ficcao Cientifica	2015
9238-8936-669-8967	Incinerate of Democracy	Anthony Martins	Ficcao Cientifica	1993
9111-7428-9674-8742	Pillage of Trickery	 Gustavo Porto	Ficcao Cientifica	2015
1220-8099-5364-3702	Assault of Trickery	Olivia Freitas	Ficcao Cientifica	1917
3476-7546-9006-5858	Attack of War	Julia Pires	Ficcao Cientifica	1944
174-3473-193-3446	Strategize of Lies	Joana Porto	Ficcao Cientifica	1927
1756-8806-4569-8878	Incinerate of Opportunity	Ian Novaes	Ficcao Cientifica	1964
8224-2550-1931-4566	Wipe Out of Freedom	Elisa Moura	Ficcao Cientifica	1912
1233-4159-6102-4623	Day and Apocalypse	 Vitor Gabriel Rodrigues	Ficcao Cientifica	1970
3622-322-868-7511	Maze and Treasures	Bruna Teixeira	Ficcao Cientifica	2007
5098-8273-6573-4624	Sons and Destruction	Gustavo Henrique Farias	Ficcao Cientifica	1950
2013-9049-3065-8507	Garden and Order	 Giovanna da Mota	Ficcao Cientifica	1995
3471-7493-2121-2284	Fortress and Dimension	 Kaique Costa	Ficcao Cientifica	2021
9728-92-3685-707	Dream and Sword	Livia Correia	Ficcao Cientifica	2000
6499-9438-7171-7954	Law and Guns	Kamilly Porto	Ficcao Cientifica	2018
8252-5085-3669-3255	Battle and Voyage	Erick Nogueira	Ficcao Cientifica	1912
5463-758-3227-7931	Guns and Planet	Fernando Campos	Ficcao Cientifica	1985
4758-6950-2829-4468	Journey and Barrage	Yuri Azevedo	Ficcao Cientifica	1925
1441-3056-5558-7753	Struggle and Legends	Luigi Pires	Ficcao Cientifica	1969
7197-6670-7866-8320	Lies and Evolution	Stella da Cunha	Ficcao Cientifica	2010
2436-4865-9038-9164	Twisted Dreams and Gangs	Davi Luiz Duarte	Ficcao Cientifica	1916
1083-8553-9969-3030	Barbarians and Havoc	 Ana Clara Azevedo	Ficcao Cientifica	1994
6230-4518-3494-32	Doubt and Order	 Guilherme das Neves	Ficcao Cientifica	1963
7217-2094-2566-2885	Solitude and Misery	Gabrielly Dias	Ficcao Cientifica	2018
6261-9826-5235-8273	Liberty and Immortals	Raquel Nogueira	Ficcao Cientifica	1929
6155-226-3453-8901	Harmony and Chaos	Maria Cecilia Nascimento	Ficcao Cientifica	1981
7360-4278-3756-8576	Action and Evolution	Julia da Mata	Ficcao Cientifica	2018
6411-9510-9950-1255	Disarray and Reckoning	Calebe das Neves	Ficcao Cientifica	1956
8619-470-1870-2868	Deltadoom	Rebeca Alves	Ficcao Cientifica	1936
6860-9212-7789-7729	Blockland	Thiago Viana	Ficcao Cientifica	1969
8680-8819-8227-5697	Bloodcore	Bianca Ferreira	Ficcao Cientifica	1995
6585-2538-3319-632	Dreadlust	 Lavinia Sales	Ficcao Cientifica	1916
8812-9077-5857-4057	Geoland	Maria Clara Farias	Ficcao Cientifica	1972
8461-8036-1987-8718	Cyberdude	Vitor Cardoso	Ficcao Cientifica	1978
7002-863-953-2574	Battlebot	Isis Silva	Ficcao Cientifica	1988
8218-5918-3009-4172	Dreadside	Luna Cardoso	Ficcao Cientifica	1982
7229-5231-4470-3803	Crystalblaze	Livia Silveira	Ficcao Cientifica	1976
2856-6992-5666-1700	Astroblast	Arthur Peixoto	Ficcao Cientifica	1915
9545-8371-5483-7167	Light Carnage	Emanuelly Melo	Historico	1997
9711-9925-7120-4194	Obscure World	Pedro Lucas Fernandes	Historico	1956
402-8199-3328-8748	Infected Prototype	Samuel Barros	Historico	1960
3537-6797-4103-5535	Fury Games	Augusto Souza	Historico	1917
5865-234-1776-712	Chaos Conspiracy	Francisco Silva	Historico	2004
9576-721-7489-8411	Zero Reaver	Nicolas Porto	Historico	1992
1388-3473-2094-9131	Armageddon Armada	Lorenzo da Conceicao	Historico	1945
5248-7083-5200-9327	Future Breed	Ian Moura	Historico	1985
3067-3421-23-8126	Shadow Reaver	Maria Clara Freitas	Historico	2020
3737-1849-7637-6810	Armed Barrage	Joao Guilherme Farias	Historico	1969
2496-8386-5384-3952	Shoot of Privilige	Maria Eduarda Oliveira	Historico	1990
5669-1314-343-6559	Run of Treachery	Erick Rezende	Historico	1981
5129-9324-5266-1110	Struggle of Struggle	Lorena Pinto	Historico	1999
5922-7294-5458-6179	Bombard of Conflict	Marcos Vinicius da Rocha	Historico	1915
8304-3186-7108-1518	Assault of Campaigns	Valentina Fogaca	Historico	1959
3647-6185-1509-9220	Fortify of Rule	Cecilia Rezende	Historico	1956
7811-1837-9649-9423	Strife of Infringement	Juliana Moreira	Historico	1919
4030-199-900-9442	Strike of Strife	Bernardo Pires	Historico	2002
2748-857-1958-4118	Fortify of Wrath	Ana Teixeira	Historico	1982
520-2617-4464-8176	Struggle of Salvation	Isaac Cardoso	Historico	1968
5692-7103-910-5140	Glitch and Echoes	Benjamin da Mata	Historico	1950
5932-5385-9409-5002	Fortress and Words	Levi Moura	Historico	1999
7660-6178-4698-7609	Law and Contract	 Luiz Felipe da Conceicao	Historico	1925
5524-9011-2603-8286	Empire and Genocide	Sarah Carvalho	Historico	2000
3892-7936-1312-4779	Words and Doom	Marcelo Rocha	Historico	1981
6413-9129-7642-8687	Whispers and Graves	Isis da Mata	Historico	1990
1704-4230-4135-1285	Empire and Force	Rodrigo Silva	Historico	1936
9544-6041-2750-1099	Defense and Escalation	Maria Eduarda Cardoso	Historico	2008
5397-8613-3153-1281	Retribution and Memories	Leticia Rocha	Historico	1928
3690-5876-5721-5923	Graves and Battle	Davi Lucca Rodrigues	Historico	2019
4583-8510-6742-6061	Prototypes and Redemption	Pietra Nascimento	Historico	1927
1380-3255-4203-9187	Vampires and Solitude	Erick Fernandes	Historico	1934
1973-5423-4451-647	Solitude and Doubt	Joao Gabriel Gomes	Historico	1947
5268-6806-584-131	Riddles and Valor	Matheus da Rocha	Historico	1973
1912-589-3309-2599	Faith and Souls	Caua Vieira	Historico	1983
8374-8041-5611-9835	Nothing and Revolution	Joao Miguel Campos	Historico	1933
8587-8809-8874-1944	Skulls and Fire	Raul Mendes	Historico	1916
4539-390-2482-7610	Oracles and Terror	Bruna Fogaca	Historico	1983
4161-6298-9688-1770	Truth and Androids	Ana Livia Alves	Historico	1981
456-7716-3652-7793	Kings and Resistance	Lucas da Rosa	Historico	2005
7344-3044-9669-3647	Farwind	Isabella Peixoto	Historico	1917
7246-7762-7509-3043	Astroscape	Marina Costa	Historico	1953
6440-2470-8928-918	Castlefight	Lucas Alves	Historico	1979
9553-2556-9869-3530	Dynachase	Larissa Pereira	Historico	1930
5608-6384-8179-1353	Grimrain	 Augusto da Luz	Historico	2000
1840-6205-8094-3582	Airmania	Lais Cardoso	Historico	1991
4669-8838-3883-7661	Astrolife	Yasmin da Paz	Historico	1913
4906-1805-5002-6922	Geoscape	Danilo Gomes	Historico	2001
7657-3262-7561-8123	Ultradoom	 Gustavo Henrique Rocha	Historico	1913
2052-5279-8240-5678	Datalife	Clarice da Cruz	Historico	2008
2967-6399-3205-5326	inquisicao mortal	Gabriela Cavalcanti	Historico	2011
964-6520-7129-4854	Ataque Solar	Samuel Martins	Historico	1933
2583-5889-5513-1219	Alias ​​leve	Antonio Alves	Historico	2002
8992-7200-4696-6703	Fronteira Humana	Fernando Viana	Historico	1941
6502-5139-3860-2140	Retribuicao de Batalha	Vitor da Cunha	Historico	1977
1403-7648-7014-1419	Matando o medo	Vinicius Pereira	Historico	1943
9303-1556-3932-8619	Abismo Solar	Mariana da Mota	Historico	1988
8640-1868-4781-8362	consequências cosmicas	Samuel da Mata	Historico	1943
9601-4506-32-8587	apenas coracao	 Vitoria da Conceicao	Historico	2008
6965-3425-2544-5637	Raca Assassina	Nina Dias	Historico	1938
9320-5887-2597-703	Resgate da Retribuicao	Thomas Pinto	Historico	1948
8211-9353-8991-2129	Demolicao da Guerra	Caroline Alves	Historico	1923
1804-6069-5456-4	Correr de Atrito	Larissa Alves	Historico	2016
3926-1635-7163-674	Resistir De Mentiras	 Leticia Cunha	Historico	1928
5786-7024-1082-1769	Plano de Violacao	Ana Clara Cardoso	Historico	1976
8828-3912-3900-1582	tiro de combate	Guilherme Sales	Historico	1923
8967-8210-6922-7073	Infeccao de Assalto	Alexia Fogaca	Historico	1973
6444-1793-1357-6167	Fuga da traicao	Francisco Fernandes	Historico	1962
4604-5298-7302-6096	Luta de Expiacao	Bianca Ramos	Historico	1912
8533-5381-8451-9628	Disparo de Atrito	 Fernanda Farias	Historico	1955
6704-3639-9760-7729	Terra e Flashbacks	 Ana Julia Souza	Historico	1935
9978-9204-1408-6523	Codinome e Ecos	Ana Costela	Historico	1933
5486-4009-4954-9520	Labirinto e armas	Caio Teixeira	Historico	2021
6194-8700-9900-438	Cronica e Viagem	 Kevin das Neves	Historico	2002
8323-4129-4501-5065	Vida e Perigo	Emanuella Santos	Historico	1944
751-3238-8202-4028	Tumulos e Ruas	 Vinicius Correia	Historico	1930
8650-2363-488-4385	Ecos e codinome	 Davi Luiz Fogaca	Historico	1928
3832-2927-597-6115	Perseguicao e Genocidio	Paulo Carvalho	Historico	2002
707-1602-6895-5138	Brasas e Dia	Maysa Moreira	Historico	1957
5421-3895-8696-6992	Planeta e Escalacao	Agatha Azevedo	Historico	1962
7490-7240-9680-1146	Desespero e Explosoes	Carlos Eduardo das Neves	Historico	1992
5693-9911-5557-4228	Esqueletos e Acertos de Contas	Alice Lima	Historico	1986
4073-4891-9509-8920	Lobisomens e luta	Enrico Lima	Historico	1937
1292-177-5309-5871	Existência e Logica	 Mariana Santos	Historico	2001
1780-9618-817-4432	Esperanca e Frenesi	Erick da Cunha	Historico	1956
5948-2663-3892-4471	Desordem e Dor	Enzo Gabriel Silva	Historico	1950
2265-3000-4551-5585	Terra e Poeira	Lara Correia	Historico	1995
9170-3828-8190-7006	Valor e Sombras	Emanuel Nunes	Historico	1999
4313-6416-1974-2619	Desordem e Androides	 Fernando Costela	Historico	1934
3239-2125-2809-5244	Razao e admiracao	 Pietro Mendes	Historico	1959
6043-9596-5031-739	espaco de cristal	Ana Teixeira	Historico	1989
5874-5499-3154-2329	Grimwind	Vinicius Porto	Historico	2001
1777-4431-1452-1666	campo de batalha	 Stella Araujo	Historico	1950
8056-677-652-8174	Alterstar	Joao Gabriel da Rosa	Historico	2002
7030-1749-1781-3896	Blueblast	 Isabella da Rosa	Historico	2010
170-347-2295-9410	plano de fusiveis	 Maite Moura	Historico	1965
3213-6723-9766-3471	Grimborne	Milena da Paz	Historico	1946
1006-4506-3099-5037	borderblaze	Amanda Santos	Historico	1988
6256-7596-5315-2672	altercacao	Esther Silva	Historico	1993
8301-7973-6999-1736	Bladeshot	Joao Lucas Cardoso	Historico	1940
6580-7999-9194-6576	calamidade inimiga	Sarah Duarte	Drama	1974
1346-1102-5226-2097	Virus Celestial	Gustavo Henrique Porto	Drama	2007
5202-1355-4231-1782	Ataque de Tempestade	Ana Julia Nunes	Drama	1998
1293-7099-4561-9452	Fuga Solar	 Lucas Gabriel Araujo	Drama	1929
5268-5784-7254-4971	Chamada Esquecida	 Kamilly Pires	Drama	1994
8672-9963-759-1315	alianca tatica	Bruno Lopes	Drama	1942
6083-6795-4675-9375	guerra especial	Marcela Novaes	Drama	1999
9016-7655-5697-3373	Furia Reaver	Joao Pedro Pires	Drama	1912
6777-919-3331-3396	Operacao parasita	Benjamin da Rosa	Drama	1941
9100-3859-3185-8982	mascara fantasma	Augusto Freitas	Drama	1918
1695-4959-1683-1141	Cerco da Traicao	Ana Sophia Nogueira	Drama	1912
1083-4186-8671-1239	Run of Privilege	Henrique Pinto	Drama	1998
6912-3136-1576-1321	batalha de traicao	 Luiz Felipe da Costa	Drama	2006
2194-9447-1547-5983	Queima de regra	Matheus Nogueira	Drama	1987
5979-7035-8145-1849	Ataque de Logica	Leonardo Cardoso	Drama	2001
6297-5578-9867-465	Regra da Logica	Isaac Ferreira	Drama	1917
64-5543-5990-9510	Incinerar do Privilegio	Marcelo Martins	Drama	1985
3240-2042-595-2708	greve de ordem	Thomas Barros	Drama	1970
3625-63-6815-390	Acabar com a Rivalidade	Elisa da Costa	Drama	1973
6467-9052-119-2074	Pilhagem de Logica	Catarina Rezende	Drama	1932
4372-8133-3518-6858	Ruas e Jardim	Daniel Nogueira	Drama	1944
3788-5691-9988-9591	Crônica e viagem	Joao Guilherme da Paz	Drama	1958
7066-8652-6112-6	materia e dia	Catarina da Rosa	Drama	1918
2555-9206-3861-6512	Invasao e Natureza	Erick Dias	Drama	1971
2413-7531-5836-4008	Planeta e Crônica	 Lorenzo das Neves	Drama	1916
5413-5891-8797-5210	crônica e lei	Joao Guilherme Pinto	Drama	1912
2593-5647-1376-3556	Ataque e Armas	Sarah Costela	Drama	2002
7589-6113-6153-3232	Ataque e Fortaleza	Davi Luiz Moreira	Drama	1959
2134-1499-9370-4381	vinganca e imperio	Stephany Cavalcanti	Drama	1965
2368-4221-7801-4534	Câmara e Sussurros	Isabelly Martins	Drama	1929
7213-5048-990-9259	Solidao e Salvacao	Lucca Fernandes	Drama	1944
7122-6038-6411-1358	Conflito e Sombras	Joana Campos	Drama	1962
5916-7476-4083-6226	Zumbis e Razao	Thiago Souza	Drama	1965
1031-2262-6078-5110	poder e deuses	 Calebe Costa	Drama	2018
6543-426-4247-7017	Almas e Ordem	 Alexandre da Mata	Drama	2004
881-8620-9080-2453	luta e misterio	Gustavo Henrique Barbosa	Drama	1934
8689-3156-3450-4611	Controle e blindagem	Eduarda Gomes	Drama	1922
5656-5694-3717-2290	Furtividade e Lobisomens	Heloisa Pinto	Drama	2000
3316-5197-9255-8374	Terror e Herois	Diogo Martins	Drama	1953
8491-2010-6137-1952	Insanidade e Poeira	Lais Monteiro	Drama	1944
9255-9886-9886-7951	lado da guerra	Rodrigo Ribeiro	Drama	1961
5994-807-9672-1055	robô cruzado	Pedro Moraes	Drama	1965
9642-7569-7918-1175	ponta de dragao	Maria Eduarda Ramos	Drama	1965
3402-331-6791-7188	vôo da lâmina	Joaquim Moraes	Drama	1962
3017-501-6251-1109	Fogo azul	Joaquim das Neves	Drama	2015
604-5140-2974-3153	Backborne	Brenda da Mata	Drama	1992
8878-4719-6218-7860	plano de cluster	Ana Julia Viana	Drama	1949
2566-6737-9362-6237	Bladehunt	Nina Pereira	Drama	1945
7051-2668-5939-4400	Emberforce	 Joana Correia	Drama	1963
3377-123-9143-9758	Clusterfobia	Leticia da Cunha	Drama	1923
7993-6472-7269-1038	viagem de tempestade	Luna Correia	Fantasia	1929
578-906-6844-9620	Ego Amaldicoado	Luiza Correia	Fantasia	1997
4174-8339-8175-3522	Caverna do Futuro	 Sofia Fogaca	Fantasia	1934
1827-5410-5052-3775	Ressurreicao Privada	Luna Moura	Fantasia	1945
7495-9928-3137-8312	Reino de Batalha	Joao Pedro Ferreira	Fantasia	1920
2022-7481-9078-7722	Estrada Fantasma	 Yago da Paz	Fantasia	2017
1383-9904-1301-2501	universo ruim	Lucas Moreira	Fantasia	1945
7925-9107-4591-8216	Caverna Espiritual	Pietro Pereira	Fantasia	1945
8452-2978-3884-3967	Armada da Tempestade	Henrique da Costa	Fantasia	1951
8882-2165-9476-3690	evolucao do anjo	Lucca Nogueira	Fantasia	2005
1713-2800-1541-8809	divisao de combate	 Gustavo Porto	Fantasia	1937
34-5393-2930-6470	Vinganca da Logica	Danilo Caldeira	Fantasia	2001
7572-4672-9576-5105	Crash de Campanhas	Benjamin Silveira	Fantasia	1977
4056-6423-3226-6672	Fuga da Vinganca	Emanuel da Cunha	Fantasia	2019
7383-5040-6469-4942	conflito de imunidade	 Nicolas Teixeira	Fantasia	1930
1709-6629-8844-3789	Greve da Razao	Nicole Melo	Fantasia	2011
8157-2432-9923-3986	luta de guerra	Caua Caldeira	Fantasia	1915
4433-6002-1683-7311	Corrida de Transgressao	Nicolas Costela	Fantasia	1999
95-7638-2693-8959	Proteger de Trapaca	 Vitor Gabriel Goncalves	Fantasia	1925
8434-4780-4906-4778	Bombarde de Enforce	Antonio Souza	Fantasia	1918
6715-4153-4502-3518	Casa e filhos	Fernando Silva	Fantasia	1955
9310-9422-4688-5786	Crime e descendência	Maria Clara Freitas	Fantasia	1919
3516-5040-6174-3652	Jardim e Fonte	Samuel Araujo	Fantasia	1936
206-9144-613-4441	Palavras e fonte	Bruna Pereira	Fantasia	1971
2617-6735-4268-7017	Brasas e Impacto	Camila Carvalho	Fantasia	1989
8457-4512-7307-1719	sonho e imperio	Daniel Costa	Fantasia	1985
359-8232-9308-8720	Enterro e tesouros	 Stephany Moura	Fantasia	1943
1585-8309-2275-1156	Palavras e Impacto	Ana Julia Almeida	Fantasia	1941
9996-2472-7837-8084	Vinganca e Fortaleza	 Guilherme Teixeira	Fantasia	1996
5245-7504-9107-5020	Cavaleiros e codinome	 Murilo Fogaca	Fantasia	2008
7188-9406-468-9847	Barbaros e Natureza	Diogo Araujo	Fantasia	1979
9150-8236-4240-579	Caveiras e Miseria	Joao Lucas Souza	Fantasia	1999
9630-191-1987-2261	Honra e Resistência	Alice Monteiro	Fantasia	1929
2250-9018-3183-9438	poeira e vampiros	Isabel Ramos	Fantasia	2002
8463-53-532-470	Ambicao e Acao	Nathan Cavalcanti	Fantasia	1957
8637-5818-2697-1541	Acao e Rubble	 Daniela Castro	Fantasia	1994
5385-8202-3730-1168	Frenesi e Caveiras	Joao Lucas da Mota	Fantasia	1916
6567-3648-5974-4283	Infinito e Caos	Marina Castro	Fantasia	1971
5714-4204-1457-2720	Logica e Herois	Camila Rodrigues	Fantasia	1961
7558-3892-7491-9488	Liberdade e Dragoes	Otavio Duarte	Fantasia	1944
3275-1393-9425-1299	Dragonlust	Nathan Cardoso	Fantasia	2008
9813-4043-5404-1983	Fusioncry	Gustavo Teixeira	Fantasia	2014
3804-7944-8440-8969	Blocklight	Levi Cardoso	Fantasia	1927
3713-4433-7200-5652	Deltazone	 Thales Souza	Fantasia	1978
806-6517-3401-6771	Grito de guerra	Davi Luiz Carvalho	Fantasia	1964
6436-3001-5028-2753	Antiscape	Enrico Santos	Fantasia	2007
3268-5259-6794-6541	Farsite	Sophie Fernandes	Fantasia	1935
4811-5437-8065-1721	Datablast	Pedro Henrique da Luz	Fantasia	1976
6434-1183-1945-762	Borderrush	Diego Ribeiro	Fantasia	1985
5865-5332-4304-7682	Bodystar	Joao Vitor Nascimento	Fantasia	2010
5050-3768-2999-6307	Legado do Vampiro	Ana Clara Vieira	Infantil	1923
1144-5779-6183-1349	Armada Primal	 Daniel Dias	Infantil	1928
3287-9588-3458-2230	Materias Metalicas	Larissa Silva	Infantil	1984
5859-4054-9644-6092	impacto atômico	Sophia Costa	Infantil	1987
1126-2136-1406-953	carnificina da morte	Brenda Campos	Infantil	1989
4889-823-6546-403	Complexo Amaldicoado	Murilo Santos	Infantil	2012
9329-7689-2401-5682	Mortal Reaver	Luiz Felipe Santos	Infantil	1944
9067-2083-4355-3434	Jogos Fantasmas	Camila Pires	Infantil	1917
9324-9867-1741-8020	raca bala	Caua Rodrigues	Infantil	1915
1500-1404-3405-9226	conspiracao brutal	Ana Luiza Lima	Infantil	2015
4288-7735-5128-1045	Fortificacao de Combate	Julia Jesus	Infantil	1999
4512-3972-9959-9906	Braco da Duplicidade	Leticia Pinto	Infantil	1950
146-8571-3223-9853	Luta de Campanhas	 Luiza Santos	Infantil	1996
9986-5051-9696-8250	Crash de combate	Sofia Goncalves	Infantil	1952
8075-2637-6756-5522	aumento de friccao	Davi Lucca Porto	Infantil	2020
8650-6946-7479-9567	Revolta da Logica	Sarah Ferreira	Infantil	1993
5607-1728-9162-4351	Batalha de Regulamentos	Anthony Ramos	Infantil	1983
6372-7571-7495-3769	Invasao de conflito	Caroline Novaes	Infantil	1978
8522-5722-7991-894	Elimine a Agressividade	Henrique Ribeiro	Infantil	1989
3202-1254-4755-2309	Demolicao da Logica	 Ana Laura Aragao	Infantil	2021
3789-4368-5325-128	luta e fantasmas	Leonardo Nascimento	Infantil	1932
9503-3555-8501-333	Tesouros e sombra	Maria Julia Pereira	Infantil	2005
2006-4012-4716-6067	Apocalipse e dias	Clarice Campos	Infantil	1912
5839-8978-6441-8780	Cavaleiros e casa	Gabriel Barbosa	Infantil	1926
2440-6344-8982-4314	Fortaleza e falha	Maria Vitoria Martins	Infantil	1944
1687-5408-4824-1529	Sonho e Genocidio	Pedro Caldeira	Infantil	2011
2822-4727-2094-515	Perigo e Galaxia	Julia Costela	Infantil	1922
3404-8182-158-8328	Raid and Sons	 Alicia Teixeira	Infantil	1981
3161-3382-4162-8321	Sinfonia e codinome	Larissa Moraes	Infantil	1965
841-3854-5740-315	idade e decada	Joana Silveira	Infantil	1965
5841-6040-9104-459	Inocentes e Mutantes	 Camila Cunha	Infantil	2013
702-9592-2076-4106	Ambicao e mentiras	Valentina da Luz	Infantil	1991
448-3856-8918-8045	loucura e nada	Maria Luiza Rocha	Infantil	2005
1734-8679-8024-4893	Natureza e Dever	Melissa Rodrigues	Infantil	1914
1927-1763-2-1758	Herois e Destino	Maria Julia Oliveira	Infantil	1948
4536-3118-4230-1853	Infinito e Caos	Maria Luiza Dias	Infantil	1963
2929-7671-1880-8717	Dever e Mutantes	Ana Beatriz Barros	Infantil	1971
4933-9827-5376-3596	medo e maldade	Otavio Pires	Infantil	1985
5962-3074-3936-1006	Pavor e Desordem	Isis Lopes	Infantil	1995
8045-2972-358-5611	Razao e Mutantes	 Lucca Caldeira	Infantil	1928
1-8263-8627-5580	Bulletsky	Carlos Eduardo Porto	Infantil	1927
1101-2548-9094-5864	ultrasky	 Ian da Paz	Infantil	1933
2179-1054-2658-8416	Blastercraft	Joao Miguel Porto	Infantil	2000
842-6278-3569-6618	Grimmind	Gabriel Cardoso	Infantil	1992
1894-6591-393-5289	Biofire	Larissa Ramos	Infantil	1969
4026-525-7299-1819	Farrush	Guilherme Novaes	Infantil	1955
339-5694-6628-1791	Masterdude	Clara Carvalho	Infantil	1983
4813-1666-2641-206	Fusionspace	Lucas Gabriel Aragao	Infantil	1961
5047-3029-3647-6954	Bladespace	Rafael Pereira	Infantil	2017
1985-8632-3054-6958	Datahunt	Camila Costa	Infantil	2001
3255-9426-9050-514	Assuntos Carnivoros	Evelyn da Costa	Terror	1914
61-7812-5099-1894	Ascendente Carmesim	Pietro Goncalves	Terror	1946
4106-3111-7837-9756	Lenda secreta	 Ana Beatriz Moura	Terror	1998
2554-7012-845-8142	fronteira armada	Pedro Lucas Carvalho	Terror	1948
3580-4086-1656-8007	Campanha canibal	Luiz Otavio Porto	Terror	1912
6919-4498-7115-5679	Evolucao Zumbi	Gabrielly Campos	Terror	1919
1471-5985-9912-3241	Anjo de emergência	Bruna Sales	Terror	2022
809-2295-7485-2539	colheita de cromo	Isis Costela	Terror	1996
6505-2342-5489-5647	Caverna de emergência	Miguel Rodrigues	Terror	1948
9237-4880-9655-5712	Guerra Sagrada	Rebeca Silveira	Terror	1944
5257-5747-3160-5088	luta da verdade	Eduarda Nascimento	Terror	1970
9906-7417-262-9981	Bombarda da Democracia	 Anthony Nogueira	Terror	2001
1893-9141-1726-8786	Carga de Expiacao	Luiz Gustavo Rodrigues	Terror	1964
3642-8457-6037-1619	Fuga de estipulacao	 Gabriel Costela	Terror	1993
6252-7629-8407-4998	Demolir da Agressao	Davi Lucca Duarte	Terror	1963
1126-1273-7361-8910	Pancada de ira	Rafaela Pires	Terror	1999
1898-8221-5674-4927	Fortificacao de Assalto	Luna Martins	Terror	1947
5322-9996-5164-7423	contador de traicao	Maria Alice Barbosa	Terror	1926
2646-5806-4865-9517	Resgate da Imunidade	Samuel Barros	Terror	1965
5220-5850-8454-5622	Derrota da Restituicao	Melissa Nunes	Terror	1942
4388-2734-7407-2293	Jardim e brasas	 Augusto Oliveira	Terror	1976
803-7048-7457-3794	Avivamento e palavras	Marcelo Nunes	Terror	1932
5173-5116-1756-4861	Ordem e Decada	Theo da Mota	Terror	1961
5044-6203-5298-4808	Execucao e Sombra	Larissa Dias	Terror	1972
897-2786-2913-5585	Armas e Imperio	Caua Lima	Terror	1998
